product_id	product_name	category	subcategory	brand	cost_price	order_count	units_sold	total_revenue	avg_selling_price	avg_profit_per_unit	total_profit	avg_discount_percent
689	HP Accessories Versatile mobile hub	Electronics	Accessories	HP	743.02	92	16512	27560340.45	1737.650000	1654.5127536196	15291594.21	5.49
327	HP Accessories Cloned discrete circuit	Electronics	Accessories	HP	682.71	86	14835	23262397.80	1596.070000	1559.2990697674	13134394.95	2.63
381	Microsoft Smartphones Fully-configurable transitional customer loyalty	Electronics	Smartphones	Microsoft	725.85	83	13800	22571485.85	1691.240000	1629.7455622530	12554755.85	4.76
579	Dell Gaming Organic secondary flexibility	Electronics	Gaming	Dell	688.35	75	13392	21589178.72	1659.980000	1603.0357111067	12370795.52	4.15
823	Sony Smartphones Streamlined coherent forecast	Electronics	Smartphones	Sony	715.33	83	13328	21229355.84	1641.670000	1585.2845983976	11695437.60	4.26
621	HP Accessories Reactive didactic infrastructure	Electronics	Accessories	HP	653.98	81	13924	20461911.54	1518.130000	1455.9666049383	11355894.02	4.66
991	Microsoft Smartphones User-centric 6thgeneration alliance	Electronics	Smartphones	Microsoft	679.74	82	13764	20186441.12	1518.650000	1456.9254471463	10830499.76	4.64
997	Apple Accessories Extended optimizing conglomeration	Electronics	Accessories	Apple	779.24	82	12430	19391526.59	1612.370000	1548.9292682927	9705573.39	4.35
871	Sony Tablets Front-line zero administration capacity	Electronics	Tablets	Sony	739.26	78	13224	19200308.40	1511.520000	1441.7113461538	9424334.16	5.76
234	HP Gaming Streamlined bandwidth-monitored system engine	Electronics	Gaming	HP	680.57	89	17408	18587328.08	1106.830000	1061.0428277191	6739965.52	5.08
217	Apple Gaming De-engineered client-driven model	Electronics	Gaming	Apple	743.09	74	11663	18581388.88	1648.670000	1582.5793243243	9914730.21	4.96
620	Samsung Gaming Grass-roots mission-critical installation	Electronics	Gaming	Samsung	719.34	78	11554	18557193.32	1670.890000	1596.8331196667	10245938.96	5.27
56	HP Accessories Adaptive intermediate forecast	Electronics	Accessories	HP	718.89	72	11655	18371749.20	1630.020000	1570.4079629583	9993086.25	5.08
384	Sony Laptops Secured bottom-line projection	Electronics	Laptops	Sony	776.21	81	13104	18245273.67	1436.040000	1382.7518930000	8073817.83	4.21
566	Dell Accessories Optimized dynamic ability	Electronics	Accessories	Dell	719.48	68	10300	17883169.00	1773.590000	1736.8767892206	10472525.00	3.10
8	Apple Gaming Expanded 24/7 process improvement	Electronics	Gaming	Apple	690.76	70	11556	17834602.68	1592.370000	1531.4812857143	9852180.12	4.71
754	HP Gaming Digitized real-time migration	Electronics	Gaming	HP	510.82	92	15498	17556436.98	1161.410000	1127.6232246413	9639748.62	3.37
801	Apple Gaming Open-architected fault-tolerant capacity	Electronics	Gaming	Apple	521.60	84	14605	17176164.53	1210.260000	1169.6947817500	9558196.53	3.87
651	Dell Tablets Exclusive value-added system engine	Electronics	Tablets	Dell	767.36	76	10404	16992302.40	1683.140000	1626.7734649211	9008688.96	3.98
572	Dell Gaming Profit-focused solution-oriented firmware	Electronics	Gaming	Dell	545.15	83	13098	16641552.98	1313.470000	1264.7769076265	9501178.28	4.37
category	product_count	order_count	units_sold	revenue	avg_price	avg_cost	total_profit	profit_margin_percent
Electronics	197	14565	2168807	1788791427.74	846.8568020305	446.924162	812177979.78	45.40
Home	194	14262	2117398	638303488.53	313.8045876289	165.292423	289359554.86	45.33
Sports	208	15266	2269656	482768895.84	219.7958173077	119.157548	211881511.68	43.89
Clothing	216	15829	2353781	364121382.41	158.4389351852	83.134907	165590013.51	45.48
Books	185	13689	2039757	89892714.50	45.4601081081	23.988865	40701789.52	45.28
709	HP Tablets De-engineered eco-centric toolset	Electronics	0	128	87210.92	128.00	87210.92	1	High Velocity
21	Dell Laptops Business-focused zero-defect budgetary management	Electronics	0	127	96950.61	127.00	96950.61	1	High Velocity
50	IKEA Kitchen Secured context-sensitive database	Home	0	127	73154.67	127.00	73154.67	1	High Velocity
98	Adidas Mens Configurable human-resource encoding	Clothing	0	127	16670.55	127.00	16670.55	1	High Velocity
682	HP Gaming Profound logistical database	Electronics	0	127	122751.61	127.00	122751.61	1	High Velocity
748	McGraw Hill Reference Implemented 6thgeneration Internet solution	Books	0	127	6739.94	127.00	6739.94	1	High Velocity
925	Dell Gaming Exclusive real-time support	Electronics	0	127	90520.97	127.00	90520.97	1	High Velocity
34	Scholastic Educational Extended interactive strategy	Books	0	126	4380.25	126.00	4380.25	1	High Velocity
205	Apple Laptops Ergonomic fault-tolerant parallelism	Electronics	0	126	16444.89	126.00	16444.89	1	High Velocity
236	Adidas Winter Cloned 4thgeneration matrices	Sports	0	126	46262.13	126.00	46262.13	1	High Velocity
298	Zara Mens Digitized cohesive challenge	Clothing	0	126	25644.85	126.00	25644.85	1	High Velocity
557	Random House Educational Automated stable algorithm	Books	0	126	7398.74	126.00	7398.74	1	High Velocity
616	Nike Accessories Synergistic even-keeled success	Clothing	0	126	29526.01	126.00	29526.01	1	High Velocity
754	HP Gaming Digitized real-time migration	Electronics	0	126	142735.26	126.00	142735.26	1	High Velocity
762	Wayfair Furniture Re-contextualized user-facing paradigm	Home	0	126	46305.56	126.00	46305.56	1	High Velocity
767	West Elm Garden Versatile full-range open system	Home	0	126	27125.37	126.00	27125.37	1	High Velocity
940	Dell Smartphones Switchable reciprocal contingency	Electronics	0	126	102427.46	126.00	102427.46	1	High Velocity
10	Patagonia Team Sports Fundamental content-based attitude	Sports	0	125	48326.07	125.00	48326.07	1	High Velocity
302	HP Accessories Switchable foreground installation	Electronics	0	125	78805.99	125.00	78805.99	1	High Velocity
394	Adidas Shoes Enhanced even-keeled leverage	Clothing	0	125	15915.35	125.00	15915.35	1	High Velocity
447	Patagonia Fitness Synchronized didactic database	Sports	0	125	47773.68	125.00	47773.68	1	High Velocity
705	Wayfair Storage Multi-layered 4thgeneration initiative	Home	0	125	53019.63	125.00	53019.63	1	High Velocity
716	Adidas Kids Face-to-face national protocol	Clothing	0	125	20153.23	125.00	20153.23	1	High Velocity
806	Wayfair Garden Open-source static portal	Home	0	125	47548.36	125.00	47548.36	1	High Velocity
892	Random House Educational Reverse-engineered context-sensitive firmware	Books	0	125	4800.80	125.00	4800.80	1	High Velocity
902	Harper Non-Fiction Profound background access	Books	0	125	5779.69	125.00	5779.69	1	High Velocity
70	Gap Kids Profit-focused demand-driven pricing structure	Clothing	0	124	7556.18	124.00	7556.18	1	High Velocity
117	Nike Winter Re-contextualized neutral collaboration	Sports	0	124	32886.31	124.00	32886.31	1	High Velocity
146	Home Depot Garden Virtual bottom-line interface	Home	0	124	24984.68	124.00	24984.68	1	High Velocity
370	Levis Womens Implemented content-based paradigm	Clothing	0	124	20564.17	124.00	20564.17	1	High Velocity
612	Levis Mens Switchable exuding superstructure	Clothing	0	124	10321.25	124.00	10321.25	1	High Velocity
896	Patagonia Outdoor Monitored global definition	Sports	0	124	39917.97	124.00	39917.97	1	High Velocity
911	Harper Reference Profit-focused transitional leverage	Books	0	124	4109.98	124.00	4109.98	1	High Velocity
927	Nike Outdoor Decentralized impactful methodology	Sports	0	124	36818.55	124.00	36818.55	1	High Velocity
94	West Elm Decor Devolved 3rdgeneration function	Home	0	123	64390.51	123.00	64390.51	1	High Velocity
293	Adidas Mens Fundamental empowering throughput	Clothing	0	123	30956.14	123.00	30956.14	1	High Velocity
399	Under Armour Fitness Mandatory secondary secured line	Sports	0	123	27610.70	123.00	27610.70	1	High Velocity
404	Scholastic Non-Fiction Devolved radical system engine	Books	0	123	6705.66	123.00	6705.66	1	High Velocity
414	Samsung Gaming Distributed systematic complexity	Electronics	0	123	50293.89	123.00	50293.89	1	High Velocity
415	REI Winter Secured methodical website	Sports	0	123	35326.59	123.00	35326.59	1	High Velocity
427	Gap Mens Multi-tiered real-time circuit	Clothing	0	123	15616.28	123.00	15616.28	1	High Velocity
538	West Elm Kitchen Multi-channeled optimal workforce	Home	0	123	29602.55	123.00	29602.55	1	High Velocity
554	Target Furniture Upgradable contextually-based parallelism	Home	0	123	18474.38	123.00	18474.38	1	High Velocity
782	West Elm Decor Configurable interactive focus group	Home	0	123	21651.12	123.00	21651.12	1	High Velocity
805	Random House Children Open-source local hardware	Books	0	123	8237.29	123.00	8237.29	1	High Velocity
837	Zara Mens Reverse-engineered bi-directional moratorium	Clothing	0	123	16235.85	123.00	16235.85	1	High Velocity
845	Wayfair Kitchen Right-sized coherent service-desk	Home	0	123	26375.91	123.00	26375.91	1	High Velocity
314	McGraw Hill Fiction Assimilated user-facing portal	Books	0	122	6438.29	122.00	6438.29	1	High Velocity
627	Random House Non-Fiction Mandatory dynamic hardware	Books	0	122	2944.09	122.00	2944.09	1	High Velocity
634	Adidas Team Sports Total object-oriented time-frame	Sports	0	122	40752.46	122.00	40752.46	1	High Velocity
637	Samsung Smartphones Fundamental regional knowledgebase	Electronics	0	122	72099.18	122.00	72099.18	1	High Velocity
690	Apple Tablets Implemented dedicated website	Electronics	0	122	76407.57	122.00	76407.57	1	High Velocity
29	Wayfair Kitchen Configurable modular archive	Home	0	121	55425.96	121.00	55425.96	1	High Velocity
114	H&M Womens Re-contextualized motivating help-desk	Clothing	0	121	9132.23	121.00	9132.23	1	High Velocity
131	Random House Fiction Digitized full-range open system	Books	0	121	4026.27	121.00	4026.27	1	High Velocity
182	Adidas Shoes Inverse bandwidth-monitored system engine	Clothing	0	121	12261.53	121.00	12261.53	1	High Velocity
269	Under Armour Outdoor Virtual multimedia definition	Sports	0	121	24912.98	121.00	24912.98	1	High Velocity
387	Patagonia Team Sports Multi-layered multi-state function	Sports	0	121	29697.39	121.00	29697.39	1	High Velocity
408	Zara Womens Object-based intangible Local Area Network	Clothing	0	121	13103.78	121.00	13103.78	1	High Velocity
604	Zara Shoes Operative homogeneous moratorium	Clothing	0	121	28359.82	121.00	28359.82	1	High Velocity
745	Zara Mens Proactive methodical workforce	Clothing	0	121	28792.43	121.00	28792.43	1	High Velocity
761	Patagonia Winter Secured bottom-line attitude	Sports	0	121	6457.59	121.00	6457.59	1	High Velocity
816	Adidas Water Sports Seamless full-range hierarchy	Sports	0	121	10795.85	121.00	10795.85	1	High Velocity
22	Microsoft Smartphones Sharable cohesive emulation	Electronics	0	120	51112.26	120.00	51112.26	1	High Velocity
124	Patagonia Winter Quality-focused client-server protocol	Sports	0	120	42269.25	120.00	42269.25	1	High Velocity
239	H&M Accessories Customer-focused executive implementation	Clothing	0	120	6430.10	120.00	6430.10	1	High Velocity
257	Scholastic Non-Fiction Proactive fault-tolerant secured line	Books	0	120	6200.31	120.00	6200.31	1	High Velocity
262	REI Fitness Stand-alone full-range orchestration	Sports	0	120	32972.50	120.00	32972.50	1	High Velocity
381	Microsoft Smartphones Fully-configurable transitional customer loyalty	Electronics	0	120	196273.79	120.00	196273.79	1	High Velocity
482	Wayfair Furniture Cross-group logistical Internet solution	Home	0	120	41698.94	120.00	41698.94	1	High Velocity
706	Apple Accessories Customer-focused motivating challenge	Electronics	0	120	77486.99	120.00	77486.99	1	High Velocity
732	H&M Womens Business-focused attitude-oriented migration	Clothing	0	120	27714.21	120.00	27714.21	1	High Velocity
819	Nike Kids Cloned radical architecture	Clothing	0	120	18465.61	120.00	18465.61	1	High Velocity
24	Gap Shoes Innovative web-enabled paradigm	Clothing	0	119	14141.41	119.00	14141.41	1	High Velocity
188	Microsoft Smartphones Self-enabling upward-trending extranet	Electronics	0	119	115727.32	119.00	115727.32	1	High Velocity
263	Nike Water Sports Expanded explicit secured line	Sports	0	119	6251.32	119.00	6251.32	1	High Velocity
311	Patagonia Outdoor Cross-platform human-resource toolset	Sports	0	119	18393.40	119.00	18393.40	1	High Velocity
331	Apple Accessories Vision-oriented multimedia groupware	Electronics	0	119	132235.67	119.00	132235.67	1	High Velocity
349	McGraw Hill Fiction Proactive asymmetric project	Books	0	119	10125.25	119.00	10125.25	1	High Velocity
498	Sony Tablets Polarized incremental firmware	Electronics	0	119	118808.81	119.00	118808.81	1	High Velocity
528	IKEA Garden Face-to-face demand-driven migration	Home	0	119	8478.96	119.00	8478.96	1	High Velocity
644	Zara Mens Decentralized motivating circuit	Clothing	0	119	27338.43	119.00	27338.43	1	High Velocity
792	Home Depot Storage Integrated 24hour attitude	Home	0	119	46913.49	119.00	46913.49	1	High Velocity
823	Sony Smartphones Streamlined coherent forecast	Electronics	0	119	189547.82	119.00	189547.82	1	High Velocity
7	Under Armour Outdoor Customer-focused explicit hardware	Sports	0	118	14060.72	118.00	14060.72	1	High Velocity
31	Harper Fiction Re-engineered empowering info-mediaries	Books	0	118	2761.48	118.00	2761.48	1	High Velocity
90	Adidas Team Sports Sharable intermediate parallelism	Sports	0	118	21865.67	118.00	21865.67	1	High Velocity
158	Scholastic Educational Virtual optimal adapter	Books	0	118	2789.07	118.00	2789.07	1	High Velocity
166	Random House Children Persevering maximized functionalities	Books	0	118	5166.75	118.00	5166.75	1	High Velocity
245	Scholastic Reference Universal bi-directional process improvement	Books	0	118	3181.06	118.00	3181.06	1	High Velocity
258	Harper Non-Fiction Profit-focused foreground framework	Books	0	118	4954.17	118.00	4954.17	1	High Velocity
389	Harper Educational Mandatory incremental architecture	Books	0	118	9162.24	118.00	9162.24	1	High Velocity
424	Dell Laptops Cloned multimedia attitude	Electronics	0	118	66274.38	118.00	66274.38	1	High Velocity
487	Target Furniture Organized optimal productivity	Home	0	118	28283.67	118.00	28283.67	1	High Velocity
507	Gap Womens Visionary multi-tasking synergy	Clothing	0	118	21783.97	118.00	21783.97	1	High Velocity
621	HP Accessories Reactive didactic infrastructure	Electronics	0	118	173406.03	118.00	173406.03	1	High Velocity
704	HP Laptops Synchronized directional architecture	Electronics	0	118	72573.63	118.00	72573.63	1	High Velocity
914	Wayfair Furniture Reverse-engineered upward-trending moratorium	Home	0	118	74246.80	118.00	74246.80	1	High Velocity
942	Adidas Team Sports Synergistic next generation model	Sports	0	118	55227.91	118.00	55227.91	1	High Velocity
25	Zara Accessories Distributed logistical Graphical User Interface	Clothing	0	117	28250.92	117.00	28250.92	1	High Velocity
162	H&M Accessories Persistent 4thgeneration conglomeration	Clothing	0	117	7637.04	117.00	7637.04	1	High Velocity
183	Adidas Kids Mandatory discrete hardware	Clothing	0	117	6115.80	117.00	6115.80	1	High Velocity
222	Home Depot Furniture Upgradable responsive encryption	Home	0	117	35363.98	117.00	35363.98	1	High Velocity
252	Under Armour Water Sports Decentralized full-range Internet solution	Sports	0	117	7691.79	117.00	7691.79	1	High Velocity
325	Home Depot Kitchen Right-sized radical focus group	Home	0	117	28495.24	117.00	28495.24	1	High Velocity
342	Harper Reference Proactive intermediate encryption	Books	0	117	3038.54	117.00	3038.54	1	High Velocity
348	IKEA Garden Organized impactful model	Home	0	117	37803.72	117.00	37803.72	1	High Velocity
357	Zara Shoes Optional local leverage	Clothing	0	117	20047.64	117.00	20047.64	1	High Velocity
578	Scholastic Reference Multi-layered actuating extranet	Books	0	117	9705.11	117.00	9705.11	1	High Velocity
580	Microsoft Gaming Implemented zero administration project	Electronics	0	117	98749.62	117.00	98749.62	1	High Velocity
587	Zara Mens Distributed leadingedge Local Area Network	Clothing	0	117	15677.47	117.00	15677.47	1	High Velocity
592	Penguin Reference Optimized needs-based protocol	Books	0	117	4787.09	117.00	4787.09	1	High Velocity
617	REI Team Sports Programmable modular project	Sports	0	117	6707.86	117.00	6707.86	1	High Velocity
681	Home Depot Furniture Seamless modular Graphic Interface	Home	0	117	17510.33	117.00	17510.33	1	High Velocity
848	Sony Tablets Switchable next generation database	Electronics	0	117	133106.42	117.00	133106.42	1	High Velocity
854	Nike Shoes Digitized full-range function	Clothing	0	117	21841.84	117.00	21841.84	1	High Velocity
950	Dell Accessories Synergistic value-added success	Electronics	0	117	86777.29	117.00	86777.29	1	High Velocity
28	IKEA Storage Fully-configurable human-resource instruction set	Home	0	116	54035.41	116.00	54035.41	1	High Velocity
106	Zara Kids Horizontal fault-tolerant website	Clothing	0	116	30415.27	116.00	30415.27	1	High Velocity
123	Random House Children Proactive systematic secured line	Books	0	116	4038.51	116.00	4038.51	1	High Velocity
153	Patagonia Outdoor Ameliorated background analyzer	Sports	0	116	30612.28	116.00	30612.28	1	High Velocity
191	Zara Womens Cross-group next generation focus group	Clothing	0	116	16859.40	116.00	16859.40	1	High Velocity
486	IKEA Kitchen Synergistic optimizing paradigm	Home	0	116	30285.55	116.00	30285.55	1	High Velocity
589	Zara Womens Devolved 4thgeneration approach	Clothing	0	116	25243.09	116.00	25243.09	1	High Velocity
653	Zara Shoes Down-sized foreground hub	Clothing	0	116	21813.34	116.00	21813.34	1	High Velocity
773	Adidas Team Sports Seamless fault-tolerant array	Sports	0	116	34545.04	116.00	34545.04	1	High Velocity
822	Random House Fiction Business-focused responsive knowledgebase	Books	0	116	6169.11	116.00	6169.11	1	High Velocity
841	Adidas Accessories Organized composite attitude	Clothing	0	116	15504.77	116.00	15504.77	1	High Velocity
872	Target Storage Secured dynamic open system	Home	0	116	59971.89	116.00	59971.89	1	High Velocity
953	Dell Gaming Intuitive multi-state infrastructure	Electronics	0	116	60642.17	116.00	60642.17	1	High Velocity
970	Patagonia Fitness Synergized zero tolerance implementation	Sports	0	116	9606.51	116.00	9606.51	1	High Velocity
47	Random House Educational Open-source analyzing leverage	Books	0	115	1295.96	115.00	1295.96	1	High Velocity
51	Patagonia Fitness Phased high-level projection	Sports	0	115	24173.67	115.00	24173.67	1	High Velocity
93	West Elm Kitchen Advanced context-sensitive Graphical User Interface	Home	0	115	28100.80	115.00	28100.80	1	High Velocity
103	Samsung Smartphones Self-enabling encompassing portal	Electronics	0	115	78902.95	115.00	78902.95	1	High Velocity
125	IKEA Furniture Robust multimedia extranet	Home	0	115	8014.33	115.00	8014.33	1	High Velocity
142	Apple Accessories Ergonomic actuating Graphic Interface	Electronics	0	115	9213.20	115.00	9213.20	1	High Velocity
174	Patagonia Fitness Face-to-face interactive data-warehouse	Sports	0	115	18592.24	115.00	18592.24	1	High Velocity
178	Nike Outdoor Function-based scalable algorithm	Sports	0	115	29347.78	115.00	29347.78	1	High Velocity
207	Random House Educational Intuitive actuating instruction set	Books	0	115	8568.61	115.00	8568.61	1	High Velocity
219	Patagonia Team Sports Diverse reciprocal monitoring	Sports	0	115	27624.95	115.00	27624.95	1	High Velocity
238	REI Winter Multi-lateral logistical synergy	Sports	0	115	26517.59	115.00	26517.59	1	High Velocity
328	Patagonia Winter Reactive client-driven productivity	Sports	0	115	36944.19	115.00	36944.19	1	High Velocity
329	REI Water Sports Extended radical capacity	Sports	0	115	23957.75	115.00	23957.75	1	High Velocity
400	Gap Shoes Innovative well-modulated knowledge user	Clothing	0	115	24610.24	115.00	24610.24	1	High Velocity
450	Nike Water Sports Reduced systemic superstructure	Sports	0	115	37096.91	115.00	37096.91	1	High Velocity
452	Gap Accessories Adaptive solution-oriented model	Clothing	0	115	16282.42	115.00	16282.42	1	High Velocity
719	Adidas Team Sports Centralized encompassing initiative	Sports	0	115	8651.43	115.00	8651.43	1	High Velocity
722	Gap Mens Universal responsive approach	Clothing	0	115	15369.40	115.00	15369.40	1	High Velocity
738	REI Winter Expanded upward-trending installation	Sports	0	115	40088.86	115.00	40088.86	1	High Velocity
744	HP Tablets Right-sized fault-tolerant concept	Electronics	0	115	98320.76	115.00	98320.76	1	High Velocity
755	Adidas Fitness Reactive hybrid groupware	Sports	0	115	18549.67	115.00	18549.67	1	High Velocity
789	Random House Non-Fiction Programmable global circuit	Books	0	115	8071.26	115.00	8071.26	1	High Velocity
801	Apple Gaming Open-architected fault-tolerant capacity	Electronics	0	115	135245.39	115.00	135245.39	1	High Velocity
912	West Elm Kitchen Vision-oriented encompassing conglomeration	Home	0	115	12988.46	115.00	12988.46	1	High Velocity
947	Under Armour Team Sports Fundamental zero-defect conglomeration	Sports	0	115	31535.06	115.00	31535.06	1	High Velocity
951	Scholastic Educational Digitized zero-defect encoding	Books	0	115	6212.99	115.00	6212.99	1	High Velocity
971	Apple Laptops Inverse system-worthy synergy	Electronics	0	115	69530.38	115.00	69530.38	1	High Velocity
996	Scholastic Reference Optimized secondary project	Books	0	115	6523.38	115.00	6523.38	1	High Velocity
30	Nike Fitness Profit-focused local migration	Sports	0	114	4454.11	114.00	4454.11	1	High Velocity
102	Gap Womens Quality-focused eco-centric hardware	Clothing	0	114	8529.12	114.00	8529.12	1	High Velocity
118	Penguin Fiction Seamless explicit challenge	Books	0	114	2083.15	114.00	2083.15	1	High Velocity
323	Adidas Accessories Multi-layered multi-tasking contingency	Clothing	0	114	4946.43	114.00	4946.43	1	High Velocity
