cohort_month	total_customers	months_after_first_order	customers_active	retention_percentage
2022-06	117	24	11	9.40
2022-06	117	25	9	7.69
2022-06	117	26	11	9.40
2022-06	117	27	11	9.40
2022-06	117	28	13	11.11
2022-06	117	29	11	9.40
2022-06	117	30	12	10.26
2022-06	117	31	5	4.27
2022-06	117	32	11	9.40
2022-06	117	33	15	12.82
2022-06	117	34	10	8.55
2022-06	117	35	16	13.68
2022-06	117	36	11	9.40
2022-06	117	37	11	9.40
2022-06	117	38	10	8.55
2022-06	117	39	7	5.98
2022-07	134	0	134	100.00
2022-07	134	1	10	7.46
2022-07	134	2	11	8.21
2022-07	134	3	14	10.45
2022-07	134	4	17	12.69
2022-07	134	5	10	7.46
2022-07	134	6	11	8.21
2022-07	134	7	13	9.70
2022-07	134	8	13	9.70
2022-07	134	9	12	8.96
2022-07	134	10	15	11.19
2022-07	134	11	16	11.94
2022-07	134	12	11	8.21
2022-07	134	13	9	6.72
2022-07	134	14	11	8.21
2022-07	134	15	12	8.96
2022-07	134	16	9	6.72
2022-07	134	17	9	6.72
2022-07	134	18	14	10.45
2022-07	134	19	11	8.21
2022-07	134	20	12	8.96
2022-07	134	21	13	9.70
2022-07	134	22	12	8.96
2022-07	134	23	11	8.21
2022-07	134	24	17	12.69
2022-07	134	25	10	7.46
2022-07	134	26	15	11.19
2022-07	134	27	7	5.22
2022-07	134	28	14	10.45
2022-07	134	29	14	10.45
2022-07	134	30	10	7.46
2022-07	134	31	16	11.94
2022-07	134	32	8	5.97
2022-07	134	33	13	9.70
2022-07	134	34	15	11.19
2022-07	134	35	9	6.72
2022-07	134	36	10	7.46
2022-07	134	37	13	9.70
2022-07	134	38	6	4.48
2022-08	127	0	127	100.00
2022-08	127	1	17	13.39
2022-08	127	2	13	10.24
2022-08	127	3	17	13.39
2022-08	127	4	18	14.17
2022-08	127	5	12	9.45
2022-08	127	6	5	3.94
2022-08	127	7	12	9.45
2022-08	127	8	13	10.24
2022-08	127	9	10	7.87
2022-08	127	10	17	13.39
2022-08	127	11	11	8.66
2022-08	127	12	16	12.60
2022-08	127	13	10	7.87
2022-08	127	14	13	10.24
2022-08	127	15	7	5.51
2022-08	127	16	10	7.87
2022-08	127	17	17	13.39
2022-08	127	18	9	7.09
2022-08	127	19	17	13.39
2022-08	127	20	18	14.17
2022-08	127	21	15	11.81
2022-08	127	22	9	7.09
2022-08	127	23	15	11.81
2022-08	127	24	14	11.02
2022-08	127	25	12	9.45
2022-08	127	26	11	8.66
2022-08	127	27	12	9.45
2022-08	127	28	7	5.51
2022-08	127	29	18	14.17
2022-08	127	30	16	12.60
2022-08	127	31	12	9.45
2022-08	127	32	4	3.15
2022-08	127	33	14	11.02
2022-08	127	34	15	11.81
2022-08	127	35	17	13.39
2022-08	127	36	8	6.30
2022-08	127	37	3	2.36
2022-09	133	0	133	100.00
2022-09	133	1	10	7.52
2022-09	133	2	15	11.28
2022-09	133	3	12	9.02
2022-09	133	4	14	10.53
2022-09	133	5	16	12.03
2022-09	133	6	16	12.03
2022-09	133	7	11	8.27
2022-09	133	8	14	10.53
2022-09	133	9	17	12.78
2022-09	133	10	9	6.77
2022-09	133	11	13	9.77
2022-09	133	12	16	12.03
2022-09	133	13	14	10.53
2022-09	133	14	12	9.02
2022-09	133	15	10	7.52
2022-09	133	16	12	9.02
2022-09	133	17	10	7.52
2022-09	133	18	17	12.78
2022-09	133	19	13	9.77
2022-09	133	20	16	12.03
2022-09	133	21	9	6.77
2022-09	133	22	14	10.53
2022-09	133	23	6	4.51
2022-09	133	24	11	8.27
2022-09	133	25	20	15.04
2022-09	133	26	9	6.77
2022-09	133	27	12	9.02
2022-09	133	28	13	9.77
2022-09	133	29	12	9.02
2022-09	133	30	13	9.77
2022-09	133	31	8	6.02
2022-09	133	32	14	10.53
2022-09	133	33	8	6.02
2022-09	133	34	14	10.53
2022-09	133	35	16	12.03
2022-09	133	36	1	0.75
2022-10	172	0	172	100.00
2022-10	172	1	14	8.14
2022-10	172	2	11	6.40
2022-10	172	3	13	7.56
2022-10	172	4	15	8.72
2022-10	172	5	15	8.72
2022-10	172	6	16	9.30
2022-10	172	7	17	9.88
2022-10	172	8	18	10.47
2022-10	172	9	17	9.88
2022-10	172	10	16	9.30
2022-10	172	11	17	9.88
2022-10	172	12	7	4.07
2022-10	172	13	10	5.81
2022-10	172	14	14	8.14
2022-10	172	15	13	7.56
2022-10	172	16	12	6.98
2022-10	172	17	15	8.72
2022-10	172	18	16	9.30
2022-10	172	19	10	5.81
2022-10	172	20	14	8.14
2022-10	172	21	17	9.88
2022-10	172	22	20	11.63
2022-10	172	23	14	8.14
2022-10	172	24	14	8.14
2022-10	172	25	10	5.81
2022-10	172	26	15	8.72
2022-10	172	27	16	9.30
2022-10	172	28	21	12.21
2022-10	172	29	18	10.47
2022-10	172	30	14	8.14
2022-10	172	31	10	5.81
2022-10	172	32	11	6.40
2022-10	172	33	14	8.14
2022-10	172	34	13	7.56
2022-10	172	35	7	4.07
2022-11	136	0	136	100.00
2022-11	136	1	7	5.15
2022-11	136	2	14	10.29
2022-11	136	3	16	11.76
2022-11	136	4	16	11.76
2022-11	136	5	17	12.50
2022-11	136	6	13	9.56
2022-11	136	7	11	8.09
2022-11	136	8	15	11.03
2022-11	136	9	15	11.03
2022-11	136	10	18	13.24
2022-11	136	11	11	8.09
2022-11	136	12	15	11.03
2022-11	136	13	13	9.56
2022-11	136	14	11	8.09
2022-11	136	15	13	9.56
2022-11	136	16	17	12.50
2022-11	136	17	19	13.97
2022-11	136	18	13	9.56
2022-11	136	19	13	9.56
2022-11	136	20	15	11.03
2022-11	136	21	16	11.76
2022-11	136	22	9	6.62
2022-11	136	23	11	8.09
2022-11	136	24	10	7.35
2022-11	136	25	14	10.29
2022-11	136	26	12	8.82
2022-11	136	27	8	5.88
2022-11	136	28	11	8.09
2022-11	136	29	11	8.09
2022-11	136	30	8	5.88
2022-11	136	31	9	6.62
2022-11	136	32	7	5.15
2022-11	136	33	13	9.56
2022-11	136	34	9	6.62
2022-12	144	0	144	100.00
2022-12	144	1	12	8.33
2022-12	144	2	15	10.42
2022-12	144	3	8	5.56
2022-12	144	4	9	6.25
2022-12	144	5	13	9.03
2022-12	144	6	16	11.11
2022-12	144	7	11	7.64
2022-12	144	8	9	6.25
2022-12	144	9	12	8.33
2022-12	144	10	12	8.33
2022-12	144	11	11	7.64
2022-12	144	12	16	11.11
2022-12	144	13	17	11.81
2022-12	144	14	9	6.25
2022-12	144	15	14	9.72
2022-12	144	16	17	11.81
2022-12	144	17	15	10.42
2022-12	144	18	8	5.56
2022-12	144	19	12	8.33
2022-12	144	20	20	13.89
2022-12	144	21	15	10.42
2022-12	144	22	10	6.94
2022-12	144	23	11	7.64
2022-12	144	24	16	11.11
2022-12	144	25	20	13.89
2022-12	144	26	12	8.33
2022-12	144	27	22	15.28
2022-12	144	28	17	11.81
2022-12	144	29	11	7.64
2022-12	144	30	13	9.03
2022-12	144	31	13	9.03
2022-12	144	32	15	10.42
2022-12	144	33	6	4.17
2023-01	179	0	179	100.00
2023-01	179	1	14	7.82
2023-01	179	2	15	8.38
2023-01	179	3	14	7.82
2023-01	179	4	14	7.82
2023-01	179	5	17	9.50
2023-01	179	6	16	8.94
2023-01	179	7	11	6.15
2023-01	179	8	26	14.53
2023-01	179	9	19	10.61
2023-01	179	10	16	8.94
2023-01	179	11	14	7.82
2023-01	179	12	14	7.82
2023-01	179	13	24	13.41
2023-01	179	14	12	6.70
2023-01	179	15	11	6.15
2023-01	179	16	9	5.03
2023-01	179	17	18	10.06
2023-01	179	18	18	10.06
2023-01	179	19	19	10.61
2023-01	179	20	14	7.82
2023-01	179	21	18	10.06
2023-01	179	22	17	9.50
2023-01	179	23	23	12.85
2023-01	179	24	22	12.29
2023-01	179	25	13	7.26
2023-01	179	26	14	7.82
2023-01	179	27	15	8.38
2023-01	179	28	19	10.61
2023-01	179	29	16	8.94
2023-01	179	30	24	13.41
2023-01	179	31	19	10.61
2023-01	179	32	7	3.91
2023-02	158	0	158	100.00
2023-02	158	1	20	12.66
2023-02	158	2	13	8.23
2023-02	158	3	15	9.49
2023-02	158	4	11	6.96
2023-02	158	5	16	10.13
2023-02	158	6	23	14.56
2023-02	158	7	12	7.59
2023-02	158	8	18	11.39
2023-02	158	9	17	10.76
2023-02	158	10	18	11.39
2023-02	158	11	12	7.59
2023-02	158	12	22	13.92
2023-02	158	13	18	11.39
2023-02	158	14	13	8.23
2023-02	158	15	17	10.76
2023-02	158	16	17	10.76
2023-02	158	17	11	6.96
2023-02	158	18	19	12.03
2023-02	158	19	11	6.96
2023-02	158	20	13	8.23
2023-02	158	21	10	6.33
2023-02	158	22	11	6.96
2023-02	158	23	20	12.66
2023-02	158	24	15	9.49
2023-02	158	25	14	8.86
2023-02	158	26	16	10.13
2023-02	158	27	20	12.66
2023-02	158	28	18	11.39
2023-02	158	29	16	10.13
2023-02	158	30	14	8.86
2023-02	158	31	6	3.80
2023-03	169	0	169	100.00
2023-03	169	1	11	6.51
2023-03	169	2	17	10.06
2023-03	169	3	11	6.51
2023-03	169	4	20	11.83
2023-03	169	5	20	11.83
2023-03	169	6	21	12.43
2023-03	169	7	14	8.28
2023-03	169	8	18	10.65
2023-03	169	9	20	11.83
2023-03	169	10	16	9.47
2023-03	169	11	12	7.10
2023-03	169	12	19	11.24
2023-03	169	13	15	8.88
2023-03	169	14	13	7.69
2023-03	169	15	13	7.69
2023-03	169	16	16	9.47
2023-03	169	17	16	9.47
2023-03	169	18	18	10.65
2023-03	169	19	16	9.47
2023-03	169	20	15	8.88
2023-03	169	21	15	8.88
2023-03	169	22	19	11.24
2023-03	169	23	17	10.06
2023-03	169	24	27	15.98
2023-03	169	25	14	8.28
2023-03	169	26	20	11.83
2023-03	169	27	14	8.28
2023-03	169	28	20	11.83
2023-03	169	29	14	8.28
2023-03	169	30	6	3.55
2023-04	170	0	170	100.00
2023-04	170	1	18	10.59
2023-04	170	2	21	12.35
2023-04	170	3	18	10.59
2023-04	170	4	16	9.41
2023-04	170	5	12	7.06
2023-04	170	6	27	15.88
2023-04	170	7	23	13.53
2023-04	170	8	13	7.65
2023-04	170	9	26	15.29
2023-04	170	10	12	7.06
2023-04	170	11	26	15.29
2023-04	170	12	26	15.29
2023-04	170	13	19	11.18
2023-04	170	14	17	10.00
2023-04	170	15	25	14.71
2023-04	170	16	21	12.35
2023-04	170	17	13	7.65
2023-04	170	18	18	10.59
2023-04	170	19	16	9.41
2023-04	170	20	19	11.18
2023-04	170	21	22	12.94
2023-04	170	22	17	10.00
2023-04	170	23	17	10.00
2023-04	170	24	17	10.00
2023-04	170	25	19	11.18
2023-04	170	26	12	7.06
2023-04	170	27	18	10.59
2023-04	170	28	13	7.65
2023-04	170	29	9	5.29
2023-05	163	0	163	100.00
2023-05	163	1	24	14.72
2023-05	163	2	14	8.59
2023-05	163	3	16	9.82
2023-05	163	4	16	9.82
2023-05	163	5	11	6.75
2023-05	163	6	23	14.11
2023-05	163	7	18	11.04
2023-05	163	8	12	7.36
2023-05	163	9	15	9.20
2023-05	163	10	12	7.36
2023-05	163	11	16	9.82
2023-05	163	12	18	11.04
2023-05	163	13	14	8.59
2023-05	163	14	17	10.43
2023-05	163	15	18	11.04
2023-05	163	16	15	9.20
2023-05	163	17	14	8.59
2023-05	163	18	20	12.27
2023-05	163	19	18	11.04
2023-05	163	20	11	6.75
2023-05	163	21	17	10.43
2023-05	163	22	21	12.88
2023-05	163	23	17	10.43
2023-05	163	24	16	9.82
2023-05	163	25	17	10.43
2023-05	163	26	16	9.82
2023-05	163	27	17	10.43
2023-05	163	28	6	3.68
2023-06	170	0	170	100.00
2023-06	170	1	18	10.59
2023-06	170	2	18	10.59
2023-06	170	3	17	10.00
2023-06	170	4	23	13.53
2023-06	170	5	21	12.35
2023-06	170	6	14	8.24
2023-06	170	7	18	10.59
2023-06	170	8	20	11.76
2023-06	170	9	19	11.18
2023-06	170	10	16	9.41
2023-06	170	11	16	9.41
2023-06	170	12	15	8.82
2023-06	170	13	16	9.41
2023-06	170	14	27	15.88
2023-06	170	15	24	14.12
2023-06	170	16	23	13.53
2023-06	170	17	24	14.12
2023-06	170	18	22	12.94
2023-06	170	19	22	12.94
2023-06	170	20	22	12.94
2023-06	170	21	18	10.59
2023-06	170	22	17	10.00
2023-06	170	23	23	13.53
2023-06	170	24	18	10.59
2023-06	170	25	17	10.00
2023-06	170	26	18	10.59
2023-06	170	27	3	1.76
2023-07	201	0	201	100.00
2023-07	201	1	25	12.44
2023-07	201	2	26	12.94
2023-07	201	3	17	8.46
2023-07	201	4	27	13.43
2023-07	201	5	26	12.94
2023-07	201	6	20	9.95
2023-07	201	7	15	7.46
2023-07	201	8	22	10.95
2023-07	201	9	21	10.45
2023-07	201	10	26	12.94
2023-07	201	11	14	6.97
2023-07	201	12	17	8.46
2023-07	201	13	24	11.94
2023-07	201	14	17	8.46
2023-07	201	15	18	8.96
2023-07	201	16	21	10.45
2023-07	201	17	19	9.45
2023-07	201	18	26	12.94
2023-07	201	19	17	8.46
2023-07	201	20	22	10.95
2023-07	201	21	9	4.48
2023-07	201	22	18	8.96
2023-07	201	23	23	11.44
2023-07	201	24	19	9.45
2023-07	201	25	22	10.95
2023-07	201	26	10	4.98
2023-08	199	0	199	100.00
2023-08	199	1	24	12.06
2023-08	199	2	22	11.06
2023-08	199	3	27	13.57
2023-08	199	4	34	17.09
2023-08	199	5	20	10.05
2023-08	199	6	15	7.54
2023-08	199	7	20	10.05
2023-08	199	8	19	9.55
2023-08	199	9	30	15.08
2023-08	199	10	28	14.07
2023-08	199	11	22	11.06
2023-08	199	12	16	8.04
2023-08	199	13	21	10.55
2023-08	199	14	23	11.56
2023-08	199	15	26	13.07
2023-08	199	16	20	10.05
2023-08	199	17	18	9.05
2023-08	199	18	25	12.56
2023-08	199	19	28	14.07
2023-08	199	20	24	12.06
2023-08	199	21	29	14.57
2023-08	199	22	27	13.57
2023-08	199	23	28	14.07
2023-08	199	24	17	8.54
2023-08	199	25	12	6.03
2023-09	204	0	204	100.00
2023-09	204	1	23	11.27
2023-09	204	2	23	11.27
2023-09	204	3	31	15.20
2023-09	204	4	18	8.82
2023-09	204	5	22	10.78
2023-09	204	6	25	12.25
2023-09	204	7	14	6.86
2023-09	204	8	19	9.31
2023-09	204	9	25	12.25
2023-09	204	10	27	13.24
2023-09	204	11	20	9.80
2023-09	204	12	26	12.75
2023-09	204	13	24	11.76
2023-09	204	14	19	9.31
2023-09	204	15	20	9.80
2023-09	204	16	25	12.25
2023-09	204	17	16	7.84
2023-09	204	18	26	12.75
2023-09	204	19	31	15.20
2023-09	204	20	26	12.75
2023-09	204	21	23	11.27
2023-09	204	22	25	12.25
2023-09	204	23	20	9.80
2023-09	204	24	12	5.88
2023-10	238	0	238	100.00
2023-10	238	1	29	12.18
2023-10	238	2	29	12.18
2023-10	238	3	36	15.13
2023-10	238	4	22	9.24
2023-10	238	5	26	10.92
2023-10	238	6	25	10.50
2023-10	238	7	31	13.03
2023-10	238	8	31	13.03
2023-10	238	9	39	16.39
2023-10	238	10	30	12.61
2023-10	238	11	31	13.03
2023-10	238	12	31	13.03
2023-10	238	13	26	10.92
2023-10	238	14	31	13.03
2023-10	238	15	34	14.29
2023-10	238	16	25	10.50
2023-10	238	17	36	15.13
2023-10	238	18	23	9.66
2023-10	238	19	26	10.92
2023-10	238	20	31	13.03
2023-10	238	21	32	13.45
2023-10	238	22	33	13.87
2023-10	238	23	8	3.36
2023-11	201	0	201	100.00
2023-11	201	1	25	12.44
2023-11	201	2	22	10.95
2023-11	201	3	19	9.45
2023-11	201	4	28	13.93
2023-11	201	5	25	12.44
2023-11	201	6	23	11.44
2023-11	201	7	22	10.95
2023-11	201	8	21	10.45
2023-11	201	9	35	17.41
2023-11	201	10	23	11.44
2023-11	201	11	22	10.95
2023-11	201	12	21	10.45
2023-11	201	13	35	17.41
2023-11	201	14	26	12.94
2023-11	201	15	23	11.44
2023-11	201	16	26	12.94
2023-11	201	17	15	7.46
2023-11	201	18	27	13.43
2023-11	201	19	28	13.93
2023-11	201	20	17	8.46
2023-11	201	21	24	11.94
2023-11	201	22	15	7.46
2023-12	202	0	202	100.00
2023-12	202	1	29	14.36
2023-12	202	2	20	9.90
2023-12	202	3	31	15.35
2023-12	202	4	20	9.90
2023-12	202	5	24	11.88
2023-12	202	6	25	12.38
2023-12	202	7	27	13.37
2023-12	202	8	24	11.88
2023-12	202	9	23	11.39
2023-12	202	10	27	13.37
2023-12	202	11	28	13.86
2023-12	202	12	32	15.84
2023-12	202	13	23	11.39
2023-12	202	14	24	11.88
2023-12	202	15	30	14.85
2023-12	202	16	31	15.35
2023-12	202	17	27	13.37
2023-12	202	18	25	12.38
2023-12	202	19	23	11.39
2023-12	202	20	24	11.88
2023-12	202	21	12	5.94
2024-01	229	0	229	100.00
2024-01	229	1	29	12.66
2024-01	229	2	22	9.61
2024-01	229	3	40	17.47
2024-01	229	4	32	13.97
2024-01	229	5	29	12.66
2024-01	229	6	41	17.90
2024-01	229	7	32	13.97
2024-01	229	8	25	10.92
2024-01	229	9	27	11.79
2024-01	229	10	24	10.48
2024-01	229	11	30	13.10
2024-01	229	12	36	15.72
2024-01	229	13	30	13.10
2024-01	229	14	49	21.40
2024-01	229	15	29	12.66
2024-01	229	16	36	15.72
2024-01	229	17	32	13.97
2024-01	229	18	25	10.92
2024-01	229	19	26	11.35
2024-01	229	20	5	2.18
2024-02	203	0	203	100.00
2024-02	203	1	19	9.36
2024-02	203	2	17	8.37
2024-02	203	3	23	11.33
2024-02	203	4	33	16.26
2024-02	203	5	30	14.78
2024-02	203	6	29	14.29
2024-02	203	7	20	9.85
2024-02	203	8	26	12.81
2024-02	203	9	19	9.36
2024-02	203	10	32	15.76
2024-02	203	11	33	16.26
2024-02	203	12	17	8.37
2024-02	203	13	35	17.24
2024-02	203	14	20	9.85
2024-02	203	15	23	11.33
2024-02	203	16	28	13.79
2024-02	203	17	31	15.27
2024-02	203	18	28	13.79
2024-02	203	19	13	6.40
2024-03	225	0	225	100.00
2024-03	225	1	37	16.44
2024-03	225	2	30	13.33
2024-03	225	3	33	14.67
2024-03	225	4	27	12.00
2024-03	225	5	40	17.78
2024-03	225	6	30	13.33
2024-03	225	7	31	13.78
2024-03	225	8	27	12.00
2024-03	225	9	33	14.67
2024-03	225	10	27	12.00
2024-03	225	11	29	12.89
2024-03	225	12	37	16.44
2024-03	225	13	23	10.22
2024-03	225	14	39	17.33
2024-03	225	15	30	13.33
2024-03	225	16	35	15.56
2024-03	225	17	33	14.67
2024-03	225	18	16	7.11
2024-04	225	0	225	100.00
2024-04	225	1	35	15.56
2024-04	225	2	34	15.11
2024-04	225	3	36	16.00
2024-04	225	4	32	14.22
2024-04	225	5	27	12.00
2024-04	225	6	38	16.89
2024-04	225	7	36	16.00
2024-04	225	8	29	12.89
2024-04	225	9	37	16.44
2024-04	225	10	25	11.11
2024-04	225	11	42	18.67
2024-04	225	12	26	11.56
2024-04	225	13	44	19.56
2024-04	225	14	38	16.89
2024-04	225	15	39	17.33
2024-04	225	16	39	17.33
2024-04	225	17	17	7.56
2024-05	238	0	238	100.00
2024-05	238	1	33	13.87
2024-05	238	2	34	14.29
2024-05	238	3	30	12.61
2024-05	238	4	50	21.01
2024-05	238	5	43	18.07
2024-05	238	6	37	15.55
2024-05	238	7	30	12.61
2024-05	238	8	29	12.18
2024-05	238	9	35	14.71
2024-05	238	10	29	12.18
2024-05	238	11	36	15.13
2024-05	238	12	43	18.07
2024-05	238	13	38	15.97
2024-05	238	14	43	18.07
2024-05	238	15	42	17.65
2024-05	238	16	19	7.98
2024-06	239	0	239	100.00
2024-06	239	1	40	16.74
2024-06	239	2	36	15.06
2024-06	239	3	38	15.90
2024-06	239	4	41	17.15
2024-06	239	5	42	17.57
2024-06	239	6	41	17.15
2024-06	239	7	44	18.41
2024-06	239	8	27	11.30
2024-06	239	9	31	12.97
2024-06	239	10	35	14.64
2024-06	239	11	36	15.06
2024-06	239	12	30	12.55
2024-06	239	13	45	18.83
2024-06	239	14	46	19.25
2024-06	239	15	13	5.44
2024-07	263	0	263	100.00
2024-07	263	1	44	16.73
2024-07	263	2	52	19.77
2024-07	263	3	54	20.53
2024-07	263	4	44	16.73
2024-07	263	5	54	20.53
2024-07	263	6	46	17.49
2024-07	263	7	38	14.45
2024-07	263	8	55	20.91
2024-07	263	9	47	17.87
2024-07	263	10	50	19.01
2024-07	263	11	46	17.49
2024-07	263	12	39	14.83
2024-07	263	13	46	17.49
2024-07	263	14	13	4.94
2024-08	267	0	267	100.00
2024-08	267	1	49	18.35
2024-08	267	2	43	16.10
2024-08	267	3	41	15.36
2024-08	267	4	47	17.60
2024-08	267	5	45	16.85
2024-08	267	6	32	11.99
2024-08	267	7	54	20.22
2024-08	267	8	39	14.61
2024-08	267	9	45	16.85
2024-08	267	10	36	13.48
2024-08	267	11	46	17.23
2024-08	267	12	34	12.73
2024-08	267	13	20	7.49
2024-09	258	0	258	100.00
2024-09	258	1	42	16.28
2024-09	258	2	41	15.89
2024-09	258	3	38	14.73
2024-09	258	4	51	19.77
2024-09	258	5	33	12.79
2024-09	258	6	45	17.44
2024-09	258	7	37	14.34
2024-09	258	8	42	16.28
2024-09	258	9	41	15.89
2024-09	258	10	50	19.38
2024-09	258	11	38	14.73
2024-09	258	12	18	6.98
2024-10	279	0	279	100.00
2024-10	279	1	50	17.92
2024-10	279	2	57	20.43
2024-10	279	3	55	19.71
2024-10	279	4	47	16.85
2024-10	279	5	58	20.79
2024-10	279	6	45	16.13
2024-10	279	7	57	20.43
2024-10	279	8	50	17.92
2024-10	279	9	54	19.35
2024-10	279	10	51	18.28
2024-10	279	11	13	4.66
2024-11	273	0	273	100.00
2024-11	273	1	72	26.37
2024-11	273	2	62	22.71
2024-11	273	3	62	22.71
2024-11	273	4	51	18.68
2024-11	273	5	67	24.54
2024-11	273	6	62	22.71
2024-11	273	7	53	19.41
2024-11	273	8	54	19.78
2024-11	273	9	61	22.34
2024-11	273	10	29	10.62
2024-12	318	0	318	100.00
2024-12	318	1	80	25.16
2024-12	318	2	58	18.24
2024-12	318	3	81	25.47
2024-12	318	4	74	23.27
2024-12	318	5	70	22.01
2024-12	318	6	68	21.38
2024-12	318	7	88	27.67
2024-12	318	8	62	19.50
2024-12	318	9	45	14.15
2025-01	280	0	280	100.00
2025-01	280	1	74	26.43
2025-01	280	2	72	25.71
2025-01	280	3	67	23.93
2025-01	280	4	60	21.43
2025-01	280	5	70	25.00
2025-01	280	6	82	29.29
2025-01	280	7	60	21.43
2025-01	280	8	35	12.50
2025-02	269	0	269	100.00
2025-02	269	1	65	24.16
2025-02	269	2	66	24.54
2025-02	269	3	65	24.16
2025-02	269	4	82	30.48
2025-02	269	5	78	29.00
2025-02	269	6	74	27.51
2025-02	269	7	27	10.04
2025-03	303	0	303	100.00
2025-03	303	1	82	27.06
2025-03	303	2	86	28.38
2025-03	303	3	91	30.03
2025-03	303	4	91	30.03
2025-03	303	5	95	31.35
2025-03	303	6	45	14.85
2025-04	294	0	294	100.00
2025-04	294	1	108	36.73
2025-04	294	2	95	32.31
2025-04	294	3	91	30.95
2025-04	294	4	103	35.03
2025-04	294	5	41	13.95
2025-05	272	0	272	100.00
2025-05	272	1	113	41.54
2025-05	272	2	110	40.44
2025-05	272	3	115	42.28
2025-05	272	4	57	20.96
2025-06	311	0	311	100.00
2025-06	311	1	137	44.05
2025-06	311	2	138	44.37
2025-06	311	3	79	25.40
2025-07	340	0	340	100.00
2025-07	340	1	184	54.12
2025-07	340	2	104	30.59
2025-08	376	0	376	100.00
2025-08	376	1	175	46.54
2025-09	167	0	167	100.00
cohort_month	months_after_first_order	active_customers	total_revenue	avg_revenue_per_customer	cumulative_revenue
2021-09	0	3	2602.43	867.476667	2602.43
2021-09	3	2	889.52	444.760000	3491.95
2021-09	4	1	1095.74	1095.740000	4587.69
2021-09	9	1	1656.89	1656.890000	6244.58
2021-09	13	1	1080.18	1080.180000	7324.76
2021-09	22	1	6294.25	6294.250000	13619.01
2021-09	34	1	509.66	509.660000	14128.67
2021-09	36	1	223.52	223.520000	14352.19
2021-09	40	1	3482.61	3482.610000	17834.80
2021-09	41	1	161.57	161.570000	17996.37
2021-09	43	1	483.56	483.560000	18479.93
2021-09	47	2	2335.87	1167.935000	20815.80
2021-10	0	18	15363.36	853.520000	15363.36
2021-10	1	3	2555.40	851.800000	17918.76
2021-10	2	1	2625.43	2625.430000	20544.19
2021-10	3	2	214.24	107.120000	20758.43
2021-10	4	2	1455.95	727.975000	22214.38
2021-10	6	2	5832.54	2916.270000	28046.92
2021-10	7	4	4530.38	1132.595000	32577.30
2021-10	9	1	211.86	211.860000	32789.16
2021-10	10	2	2587.46	1293.730000	35376.62
2021-10	11	2	1043.36	521.680000	36419.98
2021-10	12	4	8027.68	2006.920000	44447.66
2021-10	13	1	438.07	438.070000	44885.73
2021-10	14	2	3152.64	1576.320000	48038.37
2021-10	15	2	2676.20	1338.100000	50714.57
2021-10	16	1	843.87	843.870000	51558.44
2021-10	18	1	492.08	492.080000	52050.52
2021-10	19	1	110.36	110.360000	52160.88
2021-10	21	2	1455.84	727.920000	53616.72
2021-10	24	1	319.96	319.960000	53936.68
2021-10	25	3	3800.05	1266.683333	57736.73
2021-10	26	2	1378.17	689.085000	59114.90
2021-10	27	2	5374.71	2687.355000	64489.61
2021-10	28	2	2300.09	1150.045000	66789.70
2021-10	29	2	224.87	112.435000	67014.57
2021-10	30	1	98.27	98.270000	67112.84
2021-10	31	2	2325.11	1162.555000	69437.95
2021-10	32	3	1724.53	574.843333	71162.48
2021-10	33	1	367.18	367.180000	71529.66
